ApplNo,ProductNo,MarketingStatusID,TECode
020051,4,1,AB
020062,1,1,AB3
020062,2,1,AB3
020062,3,1,AB3
020062,4,1,AB3
020062,5,1,AB3
020064,1,1,AB
020067,2,1,AB
020067,3,1,AB
020068,1,1,AP
020075,1,1,AP
020075,2,1,AP
020075,3,1,AP
020080,1,1,AP
020080,2,1,AB
020080,3,1,AB
020083,1,1,AB
020090,1,1,AB
020090,2,1,AB
020105,1,1,AP
020118,1,1,AN
020122,1,1,AP
020125,1,1,AB
020125,2,1,AB
020125,3,1,AB
020126,1,1,AB
020131,1,1,AP
020132,1,1,AB
020132,2,1,AB
020132,3,1,AB
020134,1,1,AP
020140,1,1,AP
020148,1,1,AB
020161,1,1,AP
020161,2,1,AP
020161,4,1,AP
020161,5,1,AP
020161,6,1,AP
020163,1,1,AT
020163,2,1,AT
020163,3,1,AT
020164,1,1,AP
020164,2,1,AP
020164,3,1,AP
020164,4,1,AP
020164,5,1,AP
020164,7,1,AP
020164,8,1,AP
020164,9,1,AB
020169,2,1,AB
020171,1,1,AT
020171,2,1,AT
020171,3,1,AT
020178,1,1,AP
020178,2,1,AP
020179,1,1,AP
020179,2,1,AP
020180,1,1,AB
020182,1,1,AP
020183,1,1,AT
020183,2,1,AT
020183,4,1,AT
020186,1,1,AB
020186,2,1,AB
020186,3,1,AB
020189,1,1,AB
020189,2,1,AB
020189,3,1,AB
020201,1,1,AP
020201,2,1,AP
020201,3,1,AP
020201,6,1,AP
020208,1,1,AB
020215,1,1,AB
020215,2,1,AB
020221,1,1,AP
020222,1,1,AB
020232,1,1,AB
020234,1,1,AB
020234,2,1,AB
020234,3,1,AB
020235,1,1,AB
020235,2,1,AB
020235,3,1,AB
020237,1,1,AB
020237,2,1,AB
020241,1,1,AB
020241,2,1,AB
020241,3,1,AB
020241,5,1,AB
020246,1,1,AB
020248,1,1,AP
020255,1,1,AP
020255,3,1,AP
020255,4,1,AP
020255,5,1,AP
020258,1,1,AT
020272,1,1,AB
020272,2,1,AB
020272,3,1,AB
020272,4,1,AB
020272,7,1,AB
020272,8,1,AB
020273,1,1,AB
020280,6,1,
020281,2,1,AB
020297,1,1,AB
020297,2,1,AB
020297,3,1,AB
020297,4,1,AB
020298,1,1,AP
020309,1,1,AP
020309,2,1,AP
020309,3,1,AP
020309,4,1,AP
020309,5,1,AP
020314,1,1,AP
020329,1,1,AB
020329,2,1,AB
020329,3,1,AB
020330,1,1,AB
020330,2,1,AB
020333,1,1,AB
020334,1,1,AB
020351,1,1,AP
020351,2,1,AP
020353,1,1,AB
020353,2,1,AB
020353,3,1,AB
020356,5,1,AB
020356,7,1,AB
020356,8,1,AB
020358,2,1,AB1
020358,3,1,AB1
020358,4,1,AB1
020364,2,1,AB
020364,3,1,AB
020364,4,1,AB
020364,5,1,AB
020364,6,1,AB
020364,7,1,AB
020375,1,1,AB2
020375,2,1,AB2
020375,3,1,AB2
020375,4,1,AB2
020375,5,1,AB2
020375,6,1,AB2
020379,1,1,AP
020379,2,1,AP
020379,4,1,AP
020386,1,1,AB
020386,2,1,AB
020386,3,1,AB
020387,1,1,AB
020387,2,1,AB
020387,3,1,AB
020397,1,1,AB
020400,1,1,BT
020401,1,1,AB4
020401,2,1,AB4
020401,3,1,AB4
020401,4,1,AB4
020401,5,1,AB4
020401,6,1,AB4
020404,3,1,AB
020405,1,1,AB
020405,2,1,AB
020405,4,1,AB
020406,2,1,AB
020415,1,1,AB
020415,2,1,AB
020427,1,1,AB
020439,1,1,AT
020439,2,1,AT
020444,1,1,AP1
020444,2,1,AP1
020449,3,1,AP
020449,4,1,AP
020449,5,1,AP
020450,1,1,AP
020475,3,1,AB
020478,1,1,AN
020479,1,1,AA
020487,1,1,AB
020487,2,1,AB
020488,1,1,AP
020491,1,1,AP
020496,1,1,AB
020496,2,1,AB
020496,3,1,AB
020497,1,1,AB
020498,1,1,AB
020500,1,1,AB
020503,1,1,AB1
020504,1,1,AB
020505,1,1,AB
020505,2,1,AB
020505,4,1,AB
020505,5,1,AB
020519,1,1,AB
020529,1,1,AB
020531,1,1,AB
020533,1,1,AP
020533,2,1,AP
020533,3,1,AP
020533,4,1,AP
020533,5,1,AP
020533,6,1,AP
020533,7,1,AP
020533,8,1,AP
020533,9,1,AP
020533,10,1,AP
020533,11,1,AP
020538,5,1,AB1
020538,6,1,AB1
020538,7,1,AB1
020538,8,1,AB1
020538,9,1,AB1
020541,1,1,AB
020547,1,1,AB
020547,3,1,AB
020551,1,1,AP
020551,2,1,AP
020551,3,1,AP
020554,1,1,AB
020560,5,1,AB
020564,1,1,AB
020564,3,1,AB
020571,1,1,AP
020571,2,1,AP
020571,3,1,AP
020572,1,1,AB
020573,1,1,AB
020576,1,1,AB
020579,1,1,AB
020583,1,1,AB
020588,1,1,AA
020592,1,1,AB
020592,2,1,AB
020592,3,1,AB
020592,4,1,AB
020592,5,1,AB
020592,6,1,AB
020596,1,1,AA
020597,1,1,AT
020599,1,1,AB
020600,1,1,AB
020600,2,1,AB
020604,1,1,
020604,2,1,
020605,1,1,AA
020607,1,1,AB
020607,2,1,AB
020610,1,1,AB
020612,1,1,AB
020615,1,1,AP
020622,2,1,AP
020622,3,1,AP
020626,1,1,AB
020626,3,1,AB
020629,1,1,AB
020630,1,1,AP
020630,2,1,AP
020630,3,1,AP
020636,1,1,AB
020639,1,1,AB
020639,2,1,AB
020639,3,1,AB
020639,5,1,AB
020639,6,1,AB
020639,7,1,AB
020645,1,1,AP
020646,1,1,AB
020646,2,1,AB
020646,3,1,AB
020646,5,1,AB
020648,1,1,AB
020648,6,1,AB
020648,7,1,AB
020649,2,1,AP
020649,3,1,AP
020649,4,1,AP
020657,1,1,AA
020666,1,1,AB
020671,1,1,AP
020675,1,1,AB
020675,2,1,AB
020682,1,1,AB
020682,2,1,AB
020682,3,1,AB
020687,1,1,AB
020690,1,1,AB
020690,2,1,AB
020697,1,1,AB
020699,1,1,AB
020699,2,1,AB
020699,4,1,AB
020702,1,1,AB
020702,2,1,AB
020702,3,1,AB
020702,4,1,AB
020702,5,1,AA
020710,1,1,AB
020712,1,1,AB
020712,2,1,AB
020712,3,1,AB
020717,1,1,AB
020717,2,1,AB
020723,1,1,AB
020726,1,1,AB
020727,1,1,AB
020742,1,1,AT
020746,1,1,AB
020748,1,1,AB
020753,1,1,AB
020757,1,1,AB
020757,2,1,AB
020757,3,1,AB
020758,2,1,AB
020758,3,1,AB
020763,1,1,AB
020763,2,1,AB
020764,1,1,AB
020764,2,1,AB
020764,4,1,AB
020768,1,1,AB
020768,2,1,AB
020769,1,1,AB2
020771,1,1,AB
020771,2,1,AB
020780,1,1,AB
020780,2,1,AB
020785,4,1,AB
020788,1,1,AB
020789,1,1,AB
020789,3,1,AB
020793,1,1,AP
020796,1,1,AB
020800,3,1,BX
020800,4,1,BX
020803,1,1,AB
020805,1,1,AB
020815,1,1,AB
020816,1,1,AB
020818,1,1,AB
020818,2,1,AB
020818,3,1,AB
020818,4,1,AB
020818,5,1,AB
020819,1,1,AP
020819,2,1,AP
020819,3,1,AP
020822,1,1,AB
020822,2,1,AB
020822,3,1,AB
020825,1,1,AB
020825,2,1,AB
020825,3,1,AB
020825,4,1,AB
020829,2,1,AB
020830,1,1,AB
020830,2,1,AB
020835,1,1,AB
020835,2,1,AB
020835,3,1,AB
020835,5,1,AB
020837,1,1,AN
020837,2,1,AN
020837,3,1,AN
020837,4,1,AN
020838,1,1,AB
020838,2,1,AB
020838,3,1,AB
020838,4,1,AB
020839,1,1,AB
020839,2,1,AB
020844,1,1,AB
020844,2,1,AB
020845,3,1,AA
020850,1,1,AB
020850,2,1,AB
020850,3,1,AB
020855,1,1,AB
020857,1,1,AB
020859,1,1,AB
020859,2,1,AB
020862,1,1,AB
020862,2,1,AB
020862,3,1,AB
020864,2,1,AB
020865,2,1,AB
020869,1,1,AT1
020873,1,1,AP
020882,1,1,AB1
020882,2,1,AB1
020884,1,1,AB
020892,1,1,AO
020895,1,1,AB
020895,2,1,AB
020895,3,1,AB
020896,1,1,AB
020896,2,1,AB
020897,1,1,AB
020897,2,1,AB
020901,1,1,AB
020903,2,1,AB
020905,1,1,AB
020905,2,1,AB
020907,1,1,AB
020908,2,1,AB
020913,2,1,AP
020913,3,1,AP
020919,1,1,AP
020928,1,1,AP
020929,1,1,AN
020929,2,1,AN
020929,3,1,AN
020931,1,1,AB
020931,2,1,AB
020931,3,1,AB
020933,1,1,AA
020934,1,1,AB
020936,1,1,AB
020936,2,1,AB
020936,3,1,AB
020938,1,1,AB
020938,2,1,AB
020949,1,1,AN
020949,2,1,AN
020954,1,1,AP
020955,1,1,AB
020963,1,1,AB
020963,2,1,AB
020972,1,1,AB
020972,3,1,AB
020973,2,1,AB
020977,1,1,AB
020978,1,1,AA
020983,1,1,BX
020987,1,1,AB
020987,2,1,AB
020988,1,1,AP
020989,2,1,AB
020990,1,1,AA
020998,1,1,AB
020998,2,1,AB
020998,3,1,AB
020998,4,1,AB
021003,1,1,AB
021006,1,1,AB
021008,1,1,AB
021008,2,1,AB
021008,3,1,AB
021009,1,1,AT
021011,1,1,AB
021011,2,1,AB
021011,3,1,AB
021014,1,1,AB
021014,2,1,AB
021014,3,1,AB
021015,1,1,AB1
021015,2,1,AB1
021015,3,1,AB1
021016,1,1,AB
021016,2,1,AB
021022,1,1,AT
021027,1,1,AP
021027,2,1,AP
021029,1,1,AB
021029,2,1,AB
021029,3,1,AB
021029,4,1,AB
021029,5,1,AB
021029,6,1,AB
021035,1,1,AB
021035,2,1,AB
021035,3,1,AB
021035,4,1,AB
021038,1,1,AP
021038,2,1,AP
021038,3,1,AP
021038,4,1,AP
021038,5,1,AP
021055,1,1,AB
021056,1,1,AB
021057,1,1,AP
021068,1,1,AA
021073,1,1,AB
021073,2,1,AB
021073,3,1,AB
021077,1,1,AB
021077,2,1,AB
021077,3,1,AB
021078,1,1,AB
021078,2,1,AB
021083,1,1,AA
021086,1,1,AB
021086,2,1,AB
021086,3,1,AB
021086,4,1,AB
